loss/dynamics_holdout_loss,loss/dynamics_train_loss,timestep
0.71355015,-8.447615744089829,1
0.610507,-27.105523552396843,2
0.612708,-31.070897477319466,3
0.5859527,-33.06721195339331,4
0.56445885,-34.34775439113432,5
0.5375679,-35.293672850756316,6
0.5194149,-36.0364809390917,7
0.49692935,-36.64056913068155,8
0.4736175,-37.168547382535735,9
0.45716542,-37.608702349216394,10
0.4477848,-38.023242153061084,11
0.43821746,-38.3783625357883,12
0.42789215,-38.700380570401165,13
0.4035058,-39.00292711142975,14
0.38456258,-39.26231762518422,15
0.3861343,-39.47484177410618,16
0.37405738,-39.682313251324146,17
0.35752448,-39.91843420079073,18
0.35286647,-40.11890565373709,19
0.3341006,-40.26940931176858,20
0.32647714,-40.44052178812626,21
0.32295862,-40.62703503972905,22
0.3125226,-40.80202673055722,23
0.3066915,-40.85617844610221,24
0.29394943,-40.982545485280056,25
0.2962854,-41.128039592655846,26
0.28543985,-41.27094312043152,27
0.28047094,-41.35333646826635,28
0.26808903,-41.44951200228405,29
0.26663584,-41.47428619607836,30
0.26616713,-41.658183773654216,31
0.26210582,-41.74779204852644,32
0.24887586,-41.69445247997471,33
0.24969125,-41.94333434905967,34
0.24151401,-42.02973396553691,35
0.23565897,-42.07096272635136,36
0.23368397,-42.17409387898158,37
0.23351368,-42.23334325695992,38
0.22970784,-42.25029360058675,39
0.22757554,-42.36885304828888,40
0.22936794,-42.41631554297589,41
0.21364188,-42.50372554938529,42
0.22016284,-42.50856957798831,43
0.21104228,-42.59223774696931,44
0.22095835,-42.670512107189694,45
0.20080097,-42.74392255033154,46
0.20557491,-42.80872020931787,47
0.20445642,-42.884741405243446,48
0.21207443,-42.944972141732556,49
0.19530576,-42.94320029752564,50
0.19682156,-43.002420986515034,51
0.18705311,-43.06600338607362,52
0.19407287,-43.18859713393684,53
0.19374087,-43.20243100589225,54
0.19222558,-43.15804483316348,55
0.18093851,-43.30088483189644,56
0.18665394,-43.29519837353284,57
0.18947914,-43.32277653907684,58
0.17909732,-43.397911839804365,59
0.17886738,-43.485636549443576,60
0.18052538,-43.54431736239961,61
0.18003166,-43.60138519435823,62
0.1729647,-43.66787363792511,63
0.17736831,-43.5936503198765,64
0.1717705,-43.70219146658072,65
0.1659449,-43.742740606644055,66
0.17786749,-43.726442533200995,67
0.18200848,-43.81579206906456,68
0.17948751,-43.81786686030679,69
0.15782002,-43.922795709813975,70
0.16545446,-43.97984208984845,71
0.16537537,-43.96196277008878,72
0.18109402,-43.977986494496285,73
0.162999,-43.91493310901439,74
0.158109,-43.90342568678561,75
0.16736214,-44.10319692607292,76
0.15832713,-43.96680196550266,77
0.16359834,-44.09150901945104,78
0.16049652,-44.289406286505255,79
0.15686469,-44.307374579993905,80
0.15275635,-44.16957090132724,81
0.15764746,-44.141956749070026,82
0.15462969,-44.3367556972851,83
0.1813246,-44.39024742324097,84
0.15717182,-44.46283927970313,85
