adv_dynamics_update/adv_advantage,adv_dynamics_update/adv_log_prob,adv_dynamics_update/adv_loss,adv_dynamics_update/all_loss,adv_dynamics_update/sl_loss,alpha,eval/episode_length,eval/episode_length_std,eval/normalized_episode_reward,eval/normalized_episode_reward_std,loss/actor,loss/alpha,loss/critic1,loss/critic2,rollout_info/num_transitions,rollout_info/reward_mean,timestep
-5.117617547512054e-10,45.21015785217285,-0.22591872941702604,-56.00425749206543,-56.00418974304199,0.1458503905683749,1000.0,0.0,79.46479476921141,3.0512905440236238,-717.883051391601,-0.003658075660466987,12.796240114688874,13.237684225559256,250000.0,5.030815210957119,1579000
2.0046718418598175e-10,45.573950099945066,-0.43131734055280685,-56.24854872894287,-56.248419303894046,0.14851941204071034,1000.0,0.0,79.9121231893635,2.8808625711946267,-717.7403001708965,0.08616473653912526,13.353565653800992,13.635458547592156,250000.0,5.027840546298455,1580000
5.471520125865936e-10,45.670560962677,-0.30309186364710333,-56.21557261657715,-56.21548175430298,0.14867892982065675,1000.0,0.0,78.77171801701047,2.8903563883422834,-717.3638325805671,-0.03991416137665507,13.035962249755872,13.124809508323658,250000.0,5.027427344297635,1581000
1.2130476534366608e-10,45.295442668914795,-0.5720026596784592,-56.28061954498291,-56.280447933197024,0.1486936328113077,1000.0,0.0,78.00639086523891,3.3072976516641215,-717.070529907226,0.01956306778639561,13.291875860691063,13.44813046646119,250000.0,5.028528449463661,1582000
-6.370246410369874e-10,45.61295179748535,-0.00014036168158054353,-56.185665500640866,-56.18566548538208,0.1493083444535734,1000.0,0.0,79.91417217226198,3.119357790124826,-717.0102165527344,0.011925194367766378,13.001433939456955,13.17246125221254,250000.0,5.02430984692195,1583000
2.9848888516426087e-10,45.157274955749514,-0.060447549432516096,-56.222445835113525,-56.222427688598636,0.1496265867948533,1000.0,0.0,79.1386391864505,3.2305977825690357,-716.7257427978507,-0.009696916935965388,13.446294275283819,13.54135517597199,250000.0,5.027537901097995,1584000
-2.3259781301021576e-10,45.544973106384276,0.8082122057080269,-56.178842811584474,-56.17908528900146,0.14716419030725952,1000.0,0.0,78.84494061179393,3.1059290330200473,-716.7594054565433,-0.08473054415360061,12.913296416282641,13.032125979900371,250000.0,5.029629178392807,1585000
3.702007234096527e-11,45.54081273651123,0.38366411079466345,-56.23617892074585,-56.23629403686523,0.1470459617972374,1000.0,0.0,78.74447726106877,3.199525099449624,-716.8851701660143,0.02460245967656386,12.273673629283914,12.363803233623512,250000.0,5.022194223934169,1586000
-3.1781382858753204e-10,45.81278798294068,-0.13677382279932498,-56.023856136322024,-56.023815116882325,0.14728346841037254,1000.0,0.0,78.41859019725084,2.9711657640771003,-716.7387708740249,0.05316540543735017,12.915281892299658,13.059730437755576,250000.0,5.030206289193555,1587000
-1.2223608791828155e-11,45.382206844329836,0.3321549329906702,-56.146130474090576,-56.14623012161255,0.14810055395960814,1000.0,0.0,80.09145599815662,2.889690325813921,-716.7112395629886,-0.013018385350704124,12.4718209133148,12.505840322017674,250000.0,5.030585965384686,1588000
-6.984919309616089e-11,45.680083099365234,0.7560027094781399,-56.33365784072876,-56.33388459777832,0.14768977804481953,1000.0,0.0,78.3992583733008,3.196974677448111,-716.6516620483382,-0.052813544698059565,12.763619928360015,12.928307606697093,250000.0,5.027604894637884,1589000
1.6426201909780503e-10,45.67225288009644,-1.3332714054882526,-56.21092137527466,-56.21052141571045,0.1467200191020969,1000.0,0.0,81.45436770753359,3.374883000820615,-716.7016346435544,0.008158332820981747,12.790071154594443,12.890080240249649,250000.0,5.031826268327345,1590000
-3.0314549803733827e-10,45.53335708618164,0.3474337752312422,-56.126946613311766,-56.12705090713501,0.1477130700796841,1000.0,0.0,80.26673497320728,2.835972353900324,-716.8281367797858,0.061361888870596945,12.70535590505598,12.741273723602307,250000.0,5.026700852028788,1591000
7.457565516233444e-10,45.45532911682129,-0.9781406392008066,-56.12805786514282,-56.127764404296876,0.1480554813593628,1000.0,0.0,75.25214472330634,17.552354505157165,-717.0760201415993,-0.06310240708477798,12.65196182250976,12.788439661979664,250000.0,5.031413648111698,1592000
-2.8940849006175997e-10,45.59088946914673,0.05204239793866873,-56.22012488937378,-56.22014045715332,0.1467596503347156,1000.0,0.0,78.66218982369054,3.119409321962731,-717.0141218872063,0.006713819280266755,13.30382828330993,13.413249825000769,250000.0,5.033288190814128,1593000
-2.8219074010849e-10,45.53396488952637,-0.30193941144645214,-56.20551292419434,-56.20542230987549,0.14627338534593604,1000.0,0.0,79.05069542058463,2.8118080654053625,-717.1365542602555,-0.04757515278086066,13.658466022491467,13.769090751171124,250000.0,5.0277542817687495,1594000
-5.587935447692871e-11,44.97217102432251,-0.07082450856268406,-56.19472315979004,-56.194701908111576,0.14700605221092722,1000.0,0.0,77.84063987832144,2.8299714506591997,-717.1749097290046,0.07544777977094062,13.376596798896799,13.493150254726425,250000.0,5.022828882996138,1595000
-3.5134144127368925e-10,45.61111513519287,-0.49391212709248067,-56.33154801177979,-56.33139988708496,0.14687949056923402,1000.0,0.0,72.03194471034564,18.57394317023152,-716.9465701293947,-0.044015697099268426,13.324830951690684,13.63212852716443,250000.0,5.037293479054922,1596000
5.722977221012116e-10,45.23797371292114,0.141154539629817,-56.28401285552979,-56.284055198669435,0.14740259590744964,1000.0,0.0,79.378137988751,3.3340052284452852,-716.7245206909188,0.030131229218095485,12.866029766082772,12.941781377315527,250000.0,5.025523135165256,1597000
3.691529855132103e-10,45.2837606086731,-0.12981492334604264,-56.335851955413816,-56.33581303024292,0.1474506342560053,1000.0,0.0,74.19490882248206,13.334849000713952,-716.9534868164084,0.014573954656720175,12.67834549617767,12.861146801471715,250000.0,5.022865299607355,1598000
-5.355104804039001e-12,45.665366527557374,0.5995330722332001,-56.30386894226074,-56.3040488243103,0.14876847575604926,1000.0,0.0,78.70371027033694,2.644430244767019,-716.4854385375977,0.04481529679149381,13.01087467908859,13.178493391513818,250000.0,5.032890617221047,1599000
3.236345946788788e-11,46.11339488601685,-0.4662260441929102,-56.307406215667726,-56.3072663269043,0.14900686368346158,1000.0,0.0,77.58036805689068,2.9592941399797184,-716.5006379394544,0.004454175490885966,12.364015103340126,12.374733582973493,250000.0,5.028823213195108,1600000
