loss/dynamics_holdout_loss,loss/dynamics_train_loss,timestep
0.78254807,-8.681438303461562,1
0.64929503,-27.249700679813294,2
0.6255342,-31.258605131279907,3
0.60599685,-33.25380591631975,4
0.57804906,-34.52787592815234,5
0.55619836,-35.43978238356483,6
0.5314258,-36.15494547430813,7
0.5184853,-36.75504078538518,8
0.4987238,-37.24801107124354,9
0.48591262,-37.66981061674687,10
0.48163995,-38.05536047071333,11
0.47209892,-38.41244711512692,12
0.4683157,-38.71827199270127,13
0.45907697,-38.96638260024668,14
0.4484585,-39.23474264230506,15
0.43688983,-39.485582654492674,16
0.43482223,-39.69034327223045,17
0.41274348,-39.933987639261595,18
0.4073897,-40.121310193711714,19
0.39496845,-40.322487375436,20
0.39774355,-40.30834552366692,21
0.37691984,-40.649733433573026,22
0.37157172,-40.73999340432092,23
0.36817333,-40.893307032539894,24
0.35895967,-41.071271691392035,25
0.35483822,-41.21295873383187,26
0.3455003,-41.32025245496266,27
0.34386423,-41.399245291252754,28
0.33628985,-41.4345166523599,29
0.33407658,-41.635007914533126,30
0.32224932,-41.72933706169588,31
0.31967533,-41.779144381033696,32
0.3128371,-41.81934478008371,33
0.3156568,-42.02401740149248,34
0.30077213,-42.099091411707,35
0.28750262,-42.11349946066305,36
0.29135257,-42.2668922162111,37
0.2842109,-42.34622209797948,38
0.2753592,-42.37615738052012,39
0.27435356,-42.39647101817849,40
0.2711202,-42.50691681808311,41
0.26395488,-42.63248729974865,42
0.26311138,-42.682538344879035,43
0.24962668,-42.758132012937885,44
0.25221664,-42.7856695904552,45
0.24725835,-42.7881715769155,46
0.24005425,-42.95116879310813,47
0.23036988,-43.00396058130766,48
0.23438,-42.99555945855038,49
0.22593288,-43.08287561694975,50
0.231101,-43.17193692645895,51
0.22286828,-43.17244716349795,52
0.21889403,-43.23455909363091,53
0.22397299,-43.3529522209236,54
0.21648988,-43.33723338661086,55
0.21094632,-43.38622983476082,56
0.21065679,-43.414757603588825,57
0.2183834,-43.46668839534144,58
0.21205068,-43.507185281194396,59
0.20827165,-43.587546966662316,60
0.20103213,-43.59937545060194,61
0.2051867,-43.730803651851275,62
0.20087495,-43.72987950792922,63
0.20637953,-43.779875477206005,64
0.19866723,-43.86842870015186,65
0.19781116,-43.800072477486964,66
0.20131573,-43.8522033838163,67
0.2009128,-43.92493913723402,68
0.1983726,-43.93283459687117,69
0.19124101,-44.069605824151814,70
0.19325973,-44.09829039181095,71
0.19219127,-43.94181399701283,72
0.19743635,-44.13879031161523,73
0.18549724,-44.262857618622974,74
0.18959323,-44.22399197715648,75
0.19080234,-44.24521382486677,76
0.18427935,-44.36129867874619,77
0.18329132,-44.38200486724455,78
0.18320894,-44.34313057691325,79
0.18301988,-44.38262086111511,80
0.18572459,-44.444633965248876,81
0.1879413,-44.45603618636502,82
0.17838016,-44.49602127075195,83
0.17966376,-44.52387330005584,84
0.17787455,-44.61909485352471,85
0.17954935,-44.5084521716055,86
0.17771058,-44.54831157350699,87
0.17674783,-44.651078972886175,88
0.17703542,-44.715008349441874,89
0.178407,-44.74580996841857,90
0.17567873,-44.73963474646444,91
0.17383413,-44.85202185255835,92
0.1729302,-44.87559490296803,93
0.17535876,-44.812198902099794,94
0.17695618,-44.847578405324974,95
0.1712715,-44.98737844157506,96
0.16955706,-45.00150767617667,97
0.169921,-44.99619111038838,98
0.17413071,-45.024106965183634,99
0.17028174,-45.10972084207821,100
0.16895476,-45.14238311951513,101
0.16964972,-45.173621640201716,102
0.16930346,-45.17214777678152,103
0.1701889,-45.17971137243224,104
0.16742869,-45.24303079073354,105
0.16884609,-45.24566739814408,106
0.1645012,-45.215205749018615,107
0.18297112,-45.29906834428449,108
0.16315448,-45.341260845950394,109
0.16475475,-45.35109342627416,110
0.16373466,-45.30327486741173,111
0.16578212,-45.48042707010305,112
0.16538611,-45.461454967255165,113
0.16838273,-45.41651409801748,114
0.16138922,-45.50815652816471,115
0.1598651,-45.53149888771685,116
0.16233553,-45.49156266843762,117
0.15914251,-45.39021074872776,118
0.1660864,-45.57086476230352,119
0.17093812,-45.48736678126165,120
0.17787914,-45.34288631986122,121
0.16421513,-45.56482617382393,122
