loss/dynamics_holdout_loss,loss/dynamics_train_loss,timestep
0.6136621,-8.933449898829489,1
0.4785367,-27.31830115463832,2
0.47126603,-31.2590140107657,3
0.45205092,-33.246715402811056,4
0.43205136,-34.526142386480245,5
0.41540438,-35.45354741388298,6
0.4008933,-36.17142693499291,7
0.3876244,-36.75920178554522,8
0.38399392,-37.287075700194876,9
0.3650902,-37.71664442799586,10
0.357003,-38.106154234172685,11
0.34719467,-38.46216523081684,12
0.33702865,-38.74977068180731,13
0.3293918,-39.02801224071877,14
0.3211023,-39.289903588403824,15
0.31074518,-39.53795937838754,16
0.3100082,-39.74753654305829,17
0.29967037,-39.955902424430995,18
0.30063918,-40.170438097757874,19
0.29289007,-40.22659070762679,20
0.2784122,-40.49142291393608,21
0.27931175,-40.66636107474849,22
0.2736166,-40.79980582144053,23
0.26914203,-40.95303866202234,24
0.25790542,-41.088376271477046,25
0.24999276,-41.166910390176355,26
0.24739948,-41.29375207200971,27
0.24258295,-41.414132521561584,28
0.24440375,-41.475709741498974,29
0.24826705,-41.58292196762504,30
0.23250297,-41.658206578675646,31
0.23008528,-41.87303955281628,32
0.22293854,-41.89866665284675,33
0.21862797,-41.95693507540621,34
0.20932356,-42.08518677951434,35
0.21262023,-42.17681285313198,36
0.20661369,-42.1746396820311,37
0.19742966,-42.36549380083028,38
0.19006953,-42.45056085618345,39
0.18402079,-42.50074930868567,40
0.18423805,-42.55329136287105,41
0.18038881,-42.499486964798855,42
0.17231436,-42.656286165756455,43
0.16432539,-42.767798027279255,44
0.1668488,-42.72824535971576,45
0.16889118,-42.87594181539218,46
0.16178873,-42.91437918248926,47
0.16853698,-43.00219484511691,48
0.15829766,-43.034095693716914,49
0.15333205,-43.13685207949079,50
0.1565974,-43.18169749324277,51
0.15553568,-43.20171156318471,52
0.15437731,-43.213635906680295,53
0.15342128,-43.33859397240497,54
0.15043311,-43.340801239992054,55
0.15191467,-43.40729699400212,56
0.15152003,-43.477058251168856,57
0.15507254,-43.51213417826141,58
0.14203674,-43.56904642653484,59
0.1427458,-43.574084568341654,60
0.14615336,-43.69569496473736,61
0.1477154,-43.68564850992348,62
0.14185278,-43.7395422554652,63
0.14359604,-43.730297155152776,64
0.13640212,-43.85568311074417,65
0.13603303,-43.90445761473921,66
0.13632907,-43.87926970288888,67
0.13726619,-43.981212521064094,68
0.14173293,-43.90266316216491,69
0.14115308,-44.02767326979186,70
0.1349262,-44.070373682891386,71
0.13180585,-44.10734547832496,72
0.1321955,-44.2195616568257,73
0.14000382,-44.19018403528042,74
0.13134125,-44.2544538679414,75
0.12968886,-44.27685873946889,76
0.12461966,-44.37928674624008,77
0.12596127,-44.38682589906397,78
0.12848233,-44.35867419735717,79
0.13062464,-44.401301904224866,80
0.12562084,-44.494258856155774,81
0.12859127,-44.54747037552479,82
0.12718709,-44.55104912314913,83
0.122085616,-44.6100361391837,84
0.11818323,-44.609141684153286,85
0.12205348,-44.65947877581103,86
0.1321182,-44.57969162640862,87
0.12571177,-44.6985688514054,88
0.12224492,-44.789180774204425,89
0.11866327,-44.83379033223945,90
0.12645732,-44.80939384728525,91
0.12231307,-44.813281157836755,92
0.118971586,-44.774969901754844,93
0.11832017,-44.94172546061897,94
0.12108803,-44.7950295611937,95
0.113923356,-45.02007115734146,96
0.11481533,-45.039368104310974,97
0.12001018,-45.09759175431945,98
0.11291289,-45.09397231593869,99
0.11511324,-45.186702449433646,100
0.11612998,-45.135089266694614,101
0.115360044,-45.25711867515171,102
0.121523306,-45.121206524739605,103
0.11161622,-45.17767828750317,104
0.11252447,-45.27300162460902,105
0.115755394,-45.27127669168821,106
0.111613214,-45.31890781575761,107
0.11180983,-45.42437843837381,108
0.11420117,-45.398035675111444,109
0.11328991,-45.40317688027417,110
0.1158033,-45.447669785277725,111
0.1188183,-45.52612023501556,112
0.111173764,-45.54384015737114,113
0.116252325,-45.46352832028119,114
0.11312573,-45.567828466782785,115
0.112328544,-45.54975737605715,116
0.11292032,-45.557304457659356,117
0.10817649,-45.67528446272845,118
0.11140726,-45.49204726902819,119
0.110634364,-45.58237262969446,120
0.112698235,-45.66296130774968,121
0.116577506,-45.69531613369727,122
0.10896536,-45.80919721475715,123
0.109123275,-45.8095639119487,124
0.11001124,-45.85292869385893,125
0.11454364,-45.84288461748286,126
0.11405907,-45.734516145755585,127
0.11187998,-45.651843469917665,128
0.10717889,-45.89771399115195,129
0.10653217,-45.92759319108766,130
0.10709815,-45.954243642606926,131
0.11051879,-45.86332857905366,132
0.114112996,-46.02956657478155,133
0.112898566,-45.979840739686296,134
0.10605929,-46.07467030488274,135
0.1076756,-46.061688350022955,136
0.11244972,-45.99000544718028,137
0.10899402,-46.06784673310696,138
0.10704877,-46.03105293502866,139
0.11269166,-46.15508769040965,140
0.1105126,-46.133335764147006,141
0.10840897,-46.1384801549097,142
0.11107097,-46.1655293249662,143
0.10433297,-46.230125457575824,144
0.10877194,-46.27033991885815,145
0.11025212,-46.24697259500351,146
0.10744194,-46.302550652174496,147
0.11077146,-46.299322720704005,148
0.109210595,-46.28642061619491,149
