loss/dynamics_holdout_loss,loss/dynamics_train_loss,timestep
0.63730365,-8.971511956406545,1
0.53261864,-27.29178299308282,2
0.5421456,-31.248424668469838,3
0.53553593,-33.1729552774559,4
0.51883835,-34.43649644404076,5
0.5053738,-35.34600905706773,6
0.48312616,-36.06546223814838,7
0.47142568,-36.66025950413968,8
0.4673966,-37.16327505314708,9
0.44953117,-37.60506215551689,10
0.4353343,-37.991953723337076,11
0.4165194,-38.34218367101841,12
0.41061768,-38.62244537482662,13
0.39252877,-38.9528456680834,14
0.37921584,-39.21393899460211,15
0.3754895,-39.400935277476556,16
0.35951558,-39.65286831734699,17
0.33961052,-39.84580807369102,18
0.33500543,-40.084558636141175,19
0.3233947,-40.23023582746139,20
0.32189646,-40.41791748884367,21
0.29828304,-40.55579476210973,22
0.29055136,-40.71435116486355,23
0.28011316,-40.82876354353524,24
0.2742152,-40.992929133307356,25
0.26130182,-41.11195302407049,26
0.26656133,-41.10675080136233,27
0.26133966,-41.354901000945254,28
0.24552815,-41.43935785540619,29
0.25080854,-41.53881839361824,30
0.2420069,-41.65869473860673,31
0.24139555,-41.73194703079854,32
0.23093112,-41.84415953940201,33
0.22297588,-41.94440572425077,34
0.21645987,-41.96254112574344,35
0.215709,-42.106119999735135,36
0.2081842,-42.049109441067934,37
0.20798841,-42.246199186901826,38
0.20186527,-42.28400543146361,39
0.20547369,-42.269426575254926,40
0.19757347,-42.38816887893931,41
0.19609784,-42.50747339503525,42
0.18625578,-42.585807405028106,43
0.19312154,-42.68152390837394,44
0.17994615,-42.68373878578799,45
0.18418622,-42.76737414876386,46
0.18288249,-42.871830796669556,47
0.17443104,-42.89590626785345,48
0.17815332,-42.93075518279114,49
0.17302309,-43.03269493277179,50
0.1757786,-43.016558601905764,51
0.17178997,-43.1102520183711,52
0.16631256,-43.145925365799236,53
0.16083333,-43.23606353137517,54
0.1595904,-43.23069372810624,55
0.15974419,-43.30870373538287,56
0.1658165,-43.3882767285222,57
0.16270131,-43.446249052694924,58
0.15881756,-43.46917519541269,59
0.15341401,-43.523323039514466,60
0.1622288,-43.56983348594992,61
0.15574424,-43.50485889114885,62
0.15228863,-43.660408061111426,63
0.14711528,-43.71676003416247,64
0.15021944,-43.74221077170792,65
0.14865723,-43.75211639678243,66
0.15051827,-43.89215869614943,67
0.1459199,-43.770803551332676,68
0.14634213,-43.944441520180206,69
0.15594228,-43.835984333994205,70
0.14753433,-43.96742503598397,71
0.14427342,-43.975714364336774,72
0.14529097,-43.989249951229795,73
0.14543554,-43.943468545393685,74
0.14426722,-44.20219304666179,75
0.13670339,-44.24041121004178,76
0.13570358,-44.25105430346692,77
0.14810325,-44.23410973227247,78
0.1384191,-44.20115107271909,79
0.13975915,-44.362855965554886,80
0.13454631,-44.38163276940439,81
0.13669872,-44.34904027773986,82
0.13362698,-44.4396748118414,83
0.13554876,-44.38642364564569,84
0.13321432,-44.474939474970235,85
0.13317716,-44.543682229491374,86
0.13457733,-44.57147487416332,87
0.12713712,-44.65755343284323,88
0.12909332,-44.68312228903094,89
0.12580769,-44.74298067232314,90
0.13020433,-44.761188130404406,91
0.12722486,-44.79323033021945,92
0.124714516,-44.75540762444159,93
0.12897277,-44.87084881688852,94
0.12986991,-44.8674068485171,95
0.12898429,-44.9154182056428,96
0.12688942,-44.74647604939142,97
0.13586345,-44.914408028018755,98
0.12525126,-44.95636047672449,99
0.12773654,-45.12134794541951,100
0.12141154,-45.088031949798825,101
0.12510431,-44.97693591571582,102
0.12478256,-45.03274866237675,103
0.123767294,-45.175764847486626,104
0.12035213,-45.161270682644805,105
0.12237756,-45.25055376313594,106
0.122687116,-45.3101069070523,107
0.124515854,-45.37238476135144,108
0.118422925,-45.26882343825453,109
0.11701635,-45.3885287441147,110
0.120703064,-45.3826515293635,111
0.12204572,-45.417472990025736,112
0.12934335,-45.28525397434513,113
0.11406312,-45.35742533845943,114
0.12046238,-45.34630035650856,115
0.11486672,-45.37272537888916,116
0.11398898,-45.47644490479016,117
0.119010426,-45.519300078758675,118
0.12064071,-45.6389079371548,119
0.11718176,-45.670330470266876,120
0.115956105,-45.62483195666626,121
0.11591564,-45.707483923169214,122
0.11857952,-45.607990146997984,123
0.11936718,-45.5640959513435,124
0.114497386,-45.6641089631888,125
0.11033256,-45.64545475504098,126
0.114757024,-45.799781177067764,127
0.121688485,-45.81818617561225,128
0.11531901,-45.90195619084646,129
0.119015194,-45.82201194616427,130
0.10759363,-45.90585113959791,131
0.11672835,-45.86343796273383,132
0.110591315,-45.80337281874065,133
0.11099039,-46.01369447749711,134
0.11657633,-45.83058110736339,135
0.109958574,-45.861247680773644,136
0.11041047,-45.973023830667216,137
0.11077948,-45.98566054808662,138
0.10706873,-46.018325409420825,139
0.1138279,-46.09126504515036,140
0.11124225,-46.09963273182683,141
0.11398182,-46.06783317180437,142
0.10931824,-46.10391660750478,143
0.12711707,-46.180030661321474,144
0.11224339,-46.16614633830702,145
0.11469591,-45.90134872060826,146
